*Soil Inorganic Nitrogen daily output file

*DSSAT Cropping System Model Ver. 4.7.5.035 -develop  JUN 14, 2021 09:08:55

*RUN   1        : 20 IRRIG, PETPEN NO KCB.. MZCER047 KSRT2001    1
 MODEL          : MZCER047 - Maize
 EXPERIMENT     : KSRT2001 SB ARM 2020 KS, IRRIGATED
 DATA PATH      :
 TREATMENT  1   : 20 IRRIG, PETPEN NO KCB.. MZCER047
  
!                                                                                                                                      NO3 (ppm) at soil dep. (cm):                                    NH4 (ppm) at soil dep. (cm):                                    Total Inorganic N @dep(ppm):
!                                                                                                                                       0-5    5-15   15-29   29-43   43-53   53-64  64-132 132-201     0-5    5-15   15-29   29-43   43-53   53-64  64-132 132-201     0-5    5-15   15-29   29-43   43-53   53-64  64-132 132-201
@YEAR DOY   DAS  NAPC  NI#M    NIAD    NITD    NHTD   NURTD    NMNC    NITC    NDNC    NIMC    AMLC   NNMNC    NUCM    NLCC    TDNC    NI1D    NI2D    NI3D    NI4D    NI5D    NI6D    NI7D    NI8D    NH1D    NH2D    NH3D    NH4D    NH5D    NH6D    NH7D    NH8D    NT1D    NT2D    NT3D    NT4D    NT5D    NT6D    NT7D    NT8D    
 2020 151    46     0     0    57.7    55.6     2.1     0.0   35.74   36.10    0.00    0.00    0.00   35.74    0.00    0.00    0.00    5.02     5.2     4.7    3.37    2.13    2.07    1.65    1.62    0.24    0.25    0.17    0.17    0.08    0.08    0.05    0.05    5.27    5.48    4.83    3.54    2.21    2.15    1.70    1.67
 2020 152    47     0     0    58.7    56.7     2.0     0.0   36.73   37.17    0.00    0.00    0.00   36.73    0.00    0.00    0.00    5.26     5.3     4.8    3.46    2.18    2.11    1.67    1.64    0.22    0.22    0.16    0.17    0.08    0.08    0.05    0.05    5.48    5.57    4.92    3.62    2.25    2.18    1.72    1.69
 2020 153    48     0     0    59.8    57.8     1.9     0.0   37.81   38.33    0.00    0.00    0.00   37.81    0.00    0.00    0.00    5.50     5.5     4.9    3.56    2.22    2.15    1.69    1.66    0.20    0.21    0.16    0.16    0.07    0.07    0.05    0.05    5.70    5.67    5.01    3.72    2.29    2.23    1.74    1.71
 2020 154    49     0     0    60.9    59.1     1.8     0.0   38.97   39.59    0.00    0.00    0.00   38.97    0.00    0.00    0.00    5.75     5.6     5.0    3.67    2.27    2.20    1.72    1.69    0.18    0.19    0.15    0.15    0.07    0.07    0.05    0.05    5.94    5.79    5.11    3.82    2.34    2.27    1.77    1.74
 2020 155    50     0     0    62.2    60.4     1.7     0.0   40.21   40.92    0.00    0.00    0.00   40.21    0.00    0.00    0.00    6.02     5.7     5.1    3.79    2.32    2.25    1.75    1.71    0.17    0.17    0.14    0.14    0.07    0.07    0.05    0.05    6.19    5.91    5.22    3.93    2.39    2.32    1.80    1.76
 2020 156    51     0     0    63.4    61.8     1.7     0.0   41.49   42.25    0.00    0.00    0.00   41.49    0.00    0.00    0.00    6.28     5.9     5.2    3.91    2.37    2.30    1.78    1.74    0.17    0.17    0.13    0.14    0.06    0.06    0.04    0.05    6.45    6.04    5.33    4.04    2.44    2.37    1.83    1.79
 2020 157    52     0     0    64.7    63.1     1.7     0.0   42.77   43.55    0.00    0.00    0.00   42.77    0.00    0.00    0.00    6.54     6.0     5.3    4.02    2.42    2.35    1.81    1.76    0.17    0.17    0.13    0.13    0.06    0.06    0.04    0.05    6.71    6.17    5.45    4.15    2.49    2.41    1.86    1.81
 2020 158    53     0     0    66.0    64.4     1.7     0.0   44.08   44.88    0.00    0.00    0.00   44.08    0.00    0.00    0.00    4.24     7.0     5.8    4.14    2.48    2.40    1.84    1.79    0.17    0.17    0.13    0.13    0.06    0.06    0.04    0.05    4.41    7.13    5.91    4.27    2.54    2.46    1.89    1.84
 2020 159    54     0     0    67.4    65.5     1.8     0.0   45.40   46.02    0.00    0.00    0.00   45.40    0.00    0.00    0.00    4.38     6.8     6.0    4.26    2.53    2.45    1.87    1.82    0.27    0.27    0.12    0.13    0.06    0.06    0.04    0.05    4.64    7.11    6.16    4.39    2.59    2.51    1.92    1.86
 2020 160    55     0     0    68.7    66.9     1.8     0.0   46.73   47.35    0.00    0.00    0.00   46.73    0.00    0.00    0.00    6.20     6.9     6.1    4.17    2.56    2.45    1.89    1.83    0.17    0.32    0.13    0.13    0.06    0.06    0.04    0.05    6.37    7.19    6.19    4.30    2.62    2.51    1.93    1.87
 2020 161    56     0     0    70.0    68.4     1.6     0.0   48.07   48.89    0.00    0.00    0.00   48.07    0.00    0.00    0.00    5.82     7.0     7.0    4.10    2.58    2.46    1.90    1.84    0.17    0.17    0.13    0.13    0.06    0.06    0.04    0.05    5.99    7.14    7.12    4.23    2.64    2.52    1.94    1.88
 2020 162    57     0     0    71.3    69.4     1.9     0.0   49.32   49.90    0.00    0.00    0.00   49.32    0.00    0.00    0.00    7.03     6.7     7.1    4.10    2.60    2.47    1.92    1.86    0.27    0.28    0.13    0.14    0.06    0.06    0.04    0.05    7.29    6.98    7.27    4.24    2.67    2.53    1.96    1.90
 2020 163    58     0     0    72.3    70.4     1.9     0.0   50.48   50.98    0.00    0.00    0.00   50.48    0.11    0.00    0.00    8.70     6.7     7.1    4.02    2.61    2.46    1.92    1.86    0.20    0.33    0.14    0.14    0.07    0.07    0.04    0.05    8.89    7.05    7.23    4.16    2.68    2.53    1.97    1.91
 2020 164    59     0     0    73.1    71.3     1.8     0.0   51.62   52.23    0.00    0.00    0.00   51.62    0.41    0.00    0.00   10.19     6.8     7.0    3.95    2.62    2.46    1.93    1.87    0.19    0.22    0.14    0.15    0.07    0.07    0.05    0.05   10.38    7.05    7.16    4.09    2.69    2.52    1.98    1.92
 2020 165    60     0     0    73.7    71.9     1.8     0.0   52.75   53.38    0.00    0.00    0.00   52.75    0.98    0.00    0.00   10.14     6.8     7.0    4.04    2.67    2.50    1.96    1.89    0.19    0.20    0.14    0.15    0.07    0.07    0.05    0.05   10.33    6.95    7.18    4.19    2.73    2.57    2.00    1.94
 2020 166    61     0     0    74.0    72.2     1.8     0.0   53.87   54.50    0.00    0.00    0.00   53.87    1.77    0.00    0.00    9.99     6.6     7.0    4.14    2.71    2.54    1.98    1.91    0.18    0.19    0.15    0.15    0.07    0.07    0.05    0.05   10.17    6.79    7.15    4.29    2.78    2.61    2.03    1.96
 2020 167    62     0     0    74.5    72.8     1.7     0.0   55.07   55.79    0.00    0.00    0.00   55.07    2.49    0.00    0.00    5.77     7.5     7.8    4.25    2.76    2.59    2.01    1.94    0.15    0.18    0.14    0.14    0.07    0.07    0.05    0.05    5.91    7.66    7.95    4.40    2.82    2.66    2.06    1.99
 2020 168    63     0     0    74.5    72.7     1.7     0.0   56.22   56.93    0.00    0.00    0.00   56.22    3.67    0.00    0.00    6.85     6.9     7.7    4.23    2.77    2.59    2.02    1.95    0.26    0.28    0.13    0.05    0.06    0.06    0.04    0.05    7.11    7.15    7.87    4.28    2.84    2.65    2.07    1.99
 2020 169    64     0     0    74.2    72.7     1.5     0.0   57.39   58.33    0.00    0.00    0.00   57.39    5.09    0.00    0.00    8.07     6.6     7.4    4.10    2.79    2.59    2.04    1.96    0.17    0.17    0.13    0.04    0.06    0.06    0.04    0.05    8.24    6.81    7.58    4.14    2.85    2.66    2.08    2.00
 2020 170    65     0     0    74.1    72.6     1.5     0.0   58.56   59.51    0.00    0.00    0.00   58.56    6.36    0.00    0.00    7.85     6.4     7.3    4.13    2.84    2.64    2.07    1.98    0.17    0.17    0.13    0.04    0.06    0.06    0.04    0.05    8.02    6.53    7.42    4.17    2.90    2.71    2.11    2.03
 2020 171    66     0     0    73.1    71.6     1.5     0.0   59.68   60.62    0.00    0.00    0.00   59.68    8.49    0.00    0.00    7.29     5.8     6.9    4.14    2.89    2.69    2.09    2.01    0.15    0.17    0.13    0.04    0.06    0.06    0.04    0.05    7.44    5.99    7.08    4.18    2.95    2.75    2.14    2.05
 2020 172    67     0     0    72.7    71.1     1.6     0.0   60.72   61.61    0.00    0.00    0.00   60.72    9.96    0.00    0.00    6.95     5.5     6.7    4.15    2.93    2.73    2.12    2.03    0.15    0.18    0.14    0.04    0.07    0.07    0.04    0.05    7.10    5.66    6.86    4.19    2.99    2.80    2.16    2.08
 2020 173    68     0     0    70.0    68.4     1.6     0.0   61.72   62.59    0.00    0.00    0.00   61.72   13.63    0.00    0.00    5.74     4.5     6.0    4.12    2.97    2.77    2.14    2.05    0.14    0.19    0.14    0.04    0.07    0.07    0.05    0.05    5.88    4.67    6.16    4.17    3.04    2.84    2.19    2.10
 2020 174    69     0     0    68.9    67.3     1.6     0.0   62.69   63.56    0.00    0.00    0.00   62.69   15.71    0.00    0.00    3.25     4.8     5.7    4.10    3.02    2.82    2.17    2.08    0.12    0.18    0.14    0.04    0.07    0.07    0.05    0.05    3.37    5.03    5.87    4.15    3.08    2.88    2.22    2.13
 2020 175    70     0     0    67.0    65.3     1.7     0.0   63.67   64.45    0.00    0.00    0.00   63.67   18.61    0.00    0.00    2.67     4.0     5.1    4.06    3.06    2.86    2.19    2.10    0.22    0.19    0.15    0.04    0.07    0.07    0.05    0.05    2.89    4.17    5.28    4.10    3.13    2.93    2.24    2.15
 2020 176    71     0     0    65.4    63.7     1.7     0.0   64.65   65.43    0.00    0.00    0.00   64.65   21.14    0.00    0.00    2.79     3.4     4.6    3.93    3.07    2.85    2.20    2.11    0.20    0.19    0.15    0.04    0.07    0.07    0.05    0.05    3.00    3.54    4.79    3.97    3.14    2.92    2.25    2.16
 2020 177    72     0     0    62.8    61.2     1.6     0.0   65.70   66.53    0.00    0.00    0.00   65.70   24.80    0.00    0.00    2.07     2.4     3.8    3.85    3.11    2.90    2.23    2.13    0.18    0.18    0.14    0.04    0.07    0.07    0.05    0.05    2.26    2.57    3.98    3.89    3.18    2.97    2.28    2.18
 2020 178    73     0     0    59.9    58.3     1.5     0.0   66.74   67.66    0.00    0.00    0.00   66.74   28.79    0.00    0.00    1.30     1.4     2.9    3.72    3.16    2.95    2.26    2.16    0.15    0.17    0.13    0.04    0.07    0.07    0.05    0.05    1.45    1.61    3.02    3.76    3.23    3.01    2.31    2.21
 2020 179    74     0     0    57.3    55.9     1.5     0.0   67.77   68.76    0.00    0.00    0.00   67.77   32.36    0.00    0.00    0.69     0.7     2.0    3.56    3.21    2.99    2.29    2.18    0.12    0.15    0.11    0.04    0.06    0.07    0.04    0.05    0.82    0.88    2.09    3.60    3.28    3.06    2.33    2.23
 2020 180    75     0     0    55.6    54.3     1.4     0.0   68.78   69.86    0.00    0.00    0.00   68.78   35.05    0.00    0.00    0.59     0.4     1.4    3.41    2.81    3.04    2.32    2.21    0.10    0.13    0.10    0.04    0.06    0.06    0.04    0.05    0.69    0.57    1.48    3.44    2.87    3.11    2.36    2.26
 2020 181    76     0     0    54.5    53.2     1.3     0.0   69.75   70.93    0.00    0.00    0.00   69.75   37.14    0.00    0.00    0.41     0.5     1.0    3.27    2.26    3.10    2.35    2.24    0.09    0.11    0.08    0.04    0.04    0.06    0.04    0.05    0.50    0.59    1.07    3.31    2.30    3.16    2.39    2.28
 2020 182    77     0     0    53.8    52.4     1.3     0.0   70.79   71.89    0.00    0.00    0.00   70.79   38.93    0.00    0.00    0.29     0.4     0.7    3.15    1.83    3.15    2.38    2.26    0.22    0.14    0.07    0.04    0.03    0.06    0.04    0.05    0.51    0.50    0.79    3.18    1.86    3.21    2.42    2.31
 2020 183    78     0     0    53.6    52.3     1.3     0.0   71.80   72.98    0.00    0.00    0.00   71.80   40.09    0.00    0.00    0.51     0.4     0.7    2.97    1.63    3.16    2.40    2.28    0.17    0.11    0.07    0.03    0.03    0.06    0.04    0.05    0.68    0.51    0.76    3.01    1.66    3.22    2.44    2.33
